method	time
iterative	0.074381078
method	time
recursive	0.346206966
method	time
iterative	0.072478535
method	time
iterative	0.075654709
method	time
iterative	0.073171398
method	time
iterative	0.074100941
method	time
iterative	0.072416844
method	time
iterative	0.071486249
method	time
iterative	0.073167640
method	time
iterative	0.077973371
method	time
iterative	0.095235639
method	time
iterative	0.068090657
method	time
recursive	0.362636058
method	time
recursive	0.383004951
method	time
recursive	0.363553113
method	time
recursive	0.329038382
method	time
recursive	0.365729414
method	time
iterative	0.070052321
method	time
iterative	0.067037429
