100,0.000066,0.000200,0.009222,0.000117,0.000084
5100,0.002980,0.003871,0.009805,0.005013,0.003161
10100,0.005963,0.006784,0.007230,0.010256,0.001392
15100,0.008835,0.009751,0.021844,0.011669,0.001904
20100,0.012225,0.012925,0.013560,0.012904,0.002497
25100,0.015238,0.016140,0.017122,0.014087,0.003155
30100,0.017605,0.019122,0.020567,0.015340,0.003738
35100,0.020516,0.022229,0.024121,0.016371,0.004348
40100,0.024209,0.025422,0.026794,0.017865,0.005013
45100,0.026474,0.028501,0.044181,0.019866,0.005635
50100,0.029622,0.033581,0.034978,0.020509,0.006259
55100,0.032192,0.035164,0.066409,0.021917,0.006907
60100,0.035656,0.037974,0.040926,0.023526,0.007719
65100,0.037867,0.041436,0.052162,0.024399,0.008128
70100,
